name,birthcity,birthstate,countryName,LAT,LON,birthyear,gender,occupation,industry,domain
Andrew Carnegie,Dunfermline,NA,United Kingdom,NA,NA,1835,Male,Businessperson,Business,Business & Law
A.J. Ayer,United Kingdom,NA,United Kingdom,51.5,-0.116667,1910,Male,Philosopher,Philosophy,Humanities
Andrew Wiles,Cambridge,NA,United Kingdom,52.205,0.119,1953,Male,Mathematician,Math,Science & Technology
Anne Brontë,Thornton,NA,United Kingdom,53.7898,-1.8504,1820,Female,Writer,Language,Humanities
Joseph Henry,Albany,NY,United States,42.6525,-73.757222,1797,Male,Physicist,Natural Sciences,Science & Technology
Arthur Stanley Eddington,Kendal,NA,United Kingdom,54.326,-2.745,1882,Male,Astronomer,Natural Sciences,Science & Technology
Paul Krugman,Albany,NY,United States,42.6525,-73.757222,1953,Male,Economist,Social Sciences,Science & Technology
Anthony Hopkins,Margam,NA,United Kingdom,51.574444,-3.752778,1937,Male,Actor,Film And Theatre,Arts
Alec Baldwin,Long Island (ex Queens & Brooklyn),NY,United States,40.671667,-73.415,1958,Male,Actor,Film And Theatre,Arts
Kirk Douglas,Amsterdam,NY,United States,42.95,-74.183333,1916,Male,Actor,Film And Theatre,Arts
Bill Clinton,Hope,AR,United States,33.667778,-93.59,1946,Male,Politician,Government,Institutions
Britney Spears,McComb,MS,United States,31.244472,-90.471592,1981,Female,Singer,Music,Arts
Bill Gates,Seattle,WA,United States,47.609722,-122.333056,1955,Male,Businessperson,Business,Business & Law
"Bernard Montgomery, 1st Viscount Montgomery of Alamein",Kennington,NA,United Kingdom,NA,NA,1887,Male,Military Personnel,Military,Institutions
"Benjamin Disraeli, 1st Earl of Beaconsfield",London,NA,United Kingdom,51.507222,-0.1275,1804,Male,Politician,Government,Institutions
Susan B. Anthony,Adams,MA,United States,42.624167,-73.118056,1820,Female,Social Activist,Activism,Public Figure
Bing Crosby,Tacoma,WA,United States,47.241389,-122.459444,1903,Male,Singer,Music,Arts
Emily Dickinson,Amherst,MA,United States,42.367,-72.517,1830,Female,Writer,Language,Humanities
Bede,Jarrow,NA,United Kingdom,54.9797,-1.4804,672,Male,Historian,History,Humanities
Bertrand Russell,Trellech,NA,United Kingdom,51.74506,-2.7256,1872,Male,Mathematician,Math,Science & Technology
Babe Ruth,Baltimore,MD,United States,NA,NA,1895,Male,Baseball Player,Team Sports,Sports
Brian De Palma,Newark,NJ,United States,40.72422,-74.172574,1940,Male,Film Director,Film And Theatre,Arts
Bobby Charlton,Ashington,NA,United Kingdom,55.181,-1.568,1937,Male,Soccer Player,Team Sports,Sports
Buddy Holly,Lubbock,TX,United States,33.566667,-101.883333,1936,Male,Musician,Music,Arts
Billy Bob Thornton,Hot Springs,AR,United States,34.497222,-93.055278,1955,Male,Actor,Film And Theatre,Arts
Beatrix Potter,London,NA,United Kingdom,51.5004,-0.1909,1866,Female,Writer,Language,Humanities
Boudica,South Wales,NA,United Kingdom,51.483333,-3.183333,1,Female,Politician,Government,Institutions
Jesse McCartney,Lower Hudson Valley,NY,United States,41.011389,-73.841389,1987,Male,Singer,Music,Arts
Blackbeard,Bristol,NA,United Kingdom,NA,NA,1680,Male,Pirate,Outlaws,Public Figure
Cyndi Lauper,New York,NY,United States,40.774444,-73.904167,1953,Female,Musician,Music,Arts
Bruce Campbell,Royal Oak,MI,United States,42.488889,-83.142778,1958,Male,Actor,Film And Theatre,Arts
B. F. Skinner,Susquehanna Depot,PA,United States,41.944722,-75.603889,1904,Male,Psychologist,Social Sciences,Science & Technology
Bo Diddley,McComb,MS,United States,31.244472,-90.471592,1928,Male,Musician,Music,Arts
Brigham Young,Whitingham,VT,United States,42.783333,-72.85,1801,Male,Religious Figure,Religion,Institutions
Bill Bryson,Des Moines,IA,United States,41.590833,-93.620833,1951,Male,Writer,Language,Humanities
Charlie Chaplin,Walworth,NA,United Kingdom,51.4898,-0.0905,1889,Male,Actor,Film And Theatre,Arts
Brad Delson,Los Angeles,CA,United States,34.143056,-118.736944,1977,Male,Musician,Music,Arts
Claude Elwood Shannon,Petoskey,MI,United States,45.373333,-84.955278,1916,Male,Computer Scientist,Computer Science,Science & Technology
Charles Babbage,Teignmouth,NA,United Kingdom,50.551596,-3.488661,1791,Male,Inventor,Invention,Science & Technology
Clement Attlee,Putney,NA,United Kingdom,51.4649,-0.2211,1883,Male,Politician,Government,Institutions
Christopher Marlowe,Canterbury,NA,United Kingdom,51.275,1.087,1564,Male,Writer,Language,Humanities
C. S. Lewis,Belfast,NA,United Kingdom,54.597,-5.93,1898,Male,Writer,Language,Humanities
Charles Dickens,Portsmouth,NA,United Kingdom,NA,NA,1812,Male,Writer,Language,Humanities
Cecil B. DeMille,Ashfield,MA,United States,42.526389,-72.788889,1881,Male,Film Director,Film And Theatre,Arts
Chuck Yeager,Myra,WV,United States,38.2214808,-82.1126373,1923,Male,Pilot,Military,Institutions
Calvin Coolidge,Plymouth Notch,VT,United States,43.5299,-72.7388,1872,Male,Politician,Government,Institutions
Charlotte Brontë,Thornton,NA,United Kingdom,53.7898,-1.8504,1816,Female,Writer,Language,Humanities
Miles Davis,St. Louis,IL,United States,38.900556,-90.159722,1926,Male,Musician,Music,Arts
Christopher Walken,New York,NY,United States,40.774444,-73.904167,1943,Male,Actor,Film And Theatre,Arts
Tony Bennett,New York,NY,United States,40.774444,-73.904167,1926,Male,Singer,Music,Arts
William Kidd,Greenock,NA,United Kingdom,56.464,-2.97,1645,Male,Pirate,Outlaws,Public Figure
Carl Barks,Merrill,OR,United States,42.025556,-121.599444,1901,Male,Comic Artist,Design,Arts
Charles I of England,Dunfermline,NA,United Kingdom,56.0694,-3.4638,1600,Male,Politician,Government,Institutions
Charles Lyell,Angus,NA,United Kingdom,56.666667,-2.916667,1797,Male,Geologist,Natural Sciences,Science & Technology
James Earl Ray,St. Louis,IL,United States,38.900556,-90.159722,1928,Male,Extremist,Outlaws,Public Figure
Craig Venter,Salt Lake City,UT,United States,40.75,-111.883333,1946,Male,Biologist,Natural Sciences,Science & Technology
Eugene Andrew Cernan,Chicago,IL,United States,41.882924,-87.876428,1934,Male,Astronaut,Explorers,Exploration
Clive Barker,Liverpool,NA,United Kingdom,53.4,-3,1952,Male,Writer,Language,Humanities
Charles Mingus,Nogales,AZ,United States,31.353889,-110.939167,1922,Male,Musician,Music,Arts
Chet Atkins,Luttrell,TN,United States,36.203056,-83.745833,1924,Male,Musician,Music,Arts
Colin Maclaurin,Argyll,NA,United Kingdom,56.25,-5.25,1698,Male,Mathematician,Math,Science & Technology
Mike Shinoda,Los Angeles,CA,United States,34.153333,-118.761667,1977,Male,Musician,Music,Arts
D. W. Griffith,La Grange,KY,United States,38.406667,-85.379444,1875,Male,Film Director,Film And Theatre,Arts
David Lynch,Missoula,MT,United States,46.8625,-114.011667,1946,Male,Film Director,Film And Theatre,Arts
David Hume,Edinburgh,NA,United Kingdom,55.953056,-3.188889,1711,Male,Philosopher,Philosophy,Humanities
David Fincher,Denver,CO,United States,39.76185,-104.881105,1962,Male,Film Director,Film And Theatre,Arts
Douglas Engelbart,Portland,OR,United States,45.52,-122.681944,1925,Male,Inventor,Invention,Science & Technology
Carlos Bocanegra,Los Angeles,CA,United States,34.15,-117.6,1979,Male,Soccer Player,Team Sports,Sports
Douglas Adams,Cambridge,NA,United Kingdom,52.205,0.119,1952,Male,Writer,Language,Humanities
Donald Knuth,Milwaukee,WI,United States,43.05,-87.95,1938,Male,Computer Scientist,Computer Science,Science & Technology
Dave Grohl,Warren,OH,United States,41.238333,-80.814444,1969,Male,Musician,Music,Arts
Jeff Buckley,Los Angeles,CA,United States,33.836111,-117.889722,1966,Male,Musician,Music,Arts
Dwight D. Eisenhower,Denison,TX,United States,33.749722,-96.5575,1890,Male,Politician,Government,Institutions
Daniel Defoe,London,NA,United Kingdom,51.507222,-0.1275,1660,Male,Writer,Language,Humanities
Patrick McGoohan,New York,NY,United States,40.774444,-73.904167,1928,Male,Actor,Film And Theatre,Arts
Doris Day,Cincinnati,OH,United States,39.1,-84.516667,1924,Female,Actor,Film And Theatre,Arts
David Letterman,Indianapolis,IN,United States,39.791,-86.148,1947,Male,Presenter,Media Personality,Public Figure
Leo Fender,Los Angeles,CA,United States,33.836111,-117.889722,1909,Male,Inventor,Invention,Science & Technology
David Ricardo,London,NA,United Kingdom,51.507222,-0.1275,1772,Male,Economist,Social Sciences,Science & Technology
David Brewster,Jedburgh,NA,United Kingdom,55.477,-2.546,1781,Male,Physicist,Natural Sciences,Science & Technology
David Beckham,Leytonstone,NA,United Kingdom,51.569,0.01,1975,Male,Soccer Player,Team Sports,Sports
Clinton Davisson,Bloomington,IL,United States,40.484167,-88.993611,1881,Male,Physicist,Natural Sciences,Science & Technology
Dolly Parton,Sevierville,TN,United States,35.8775,-83.57,1946,Female,Singer,Music,Arts
G. Stanley Hall,Ashfield,MA,United States,42.526389,-72.788889,1844,Male,Psychologist,Social Sciences,Science & Technology
Dylan Thomas,"Uplands, Swansea",NA,United Kingdom,51.62,-3.96,1914,Male,Writer,Language,Humanities
David Bowie,Brixton,NA,United Kingdom,51.463,-0.106,1947,Male,Singer,Music,Arts
Dennis Hopper,Dodge City,KS,United States,37.759722,-100.018333,1936,Male,Actor,Film And Theatre,Arts
David Morse,Boston,MA,United States,42.558,-70.88,1953,Male,Actor,Film And Theatre,Arts
Gary Sinise,Chicago,IL,United States,41.658412,-87.679424,1955,Male,Actor,Film And Theatre,Arts
Dean Koontz,Everett,PA,United States,40.014167,-78.373333,1945,Male,Writer,Language,Humanities
Don Rosa,Louisville,KY,United States,38.25,-85.766667,1951,Male,Comic Artist,Design,Arts
Al Oerter,New York,NY,United States,40.774444,-73.904167,1936,Male,Athlete,Individual Sports,Sports
Lewis Henry Morgan,Aurora,NY,United States,42.746667,-76.699444,1818,Male,Anthropologist,Social Sciences,Science & Technology
Elvis Presley,Tupelo,MS,United States,34.259722,-88.725833,1935,Male,Singer,Music,Arts
Erasmus Darwin,Newark-on-Trent,NA,United Kingdom,53.0765,-0.81,1731,Male,Biologist,Natural Sciences,Science & Technology
Jane Addams,Cedarville,IL,United States,42.375,-89.633889,1860,Female,Social Activist,Activism,Public Figure
Benjamin Franklin,Boston,MA,United States,42.358056,-71.063611,1706,Male,Politician,Government,Institutions
Milorad Čavić,Los Angeles,CA,United States,33.836111,-117.889722,1984,Male,Swimmer,Individual Sports,Sports
Edmund Spenser,London,NA,United Kingdom,51.507222,-0.1275,1552,Male,Writer,Language,Humanities
Daniel Dennett,Boston,MA,United States,42.358056,-71.063611,1942,Male,Philosopher,Philosophy,Humanities
Eric S. Raymond,Boston,MA,United States,42.358056,-71.063611,1957,Male,Computer Scientist,Computer Science,Science & Technology
Elizabeth Barrett Browning,Kelloe,NA,United Kingdom,54.728,-1.461,1806,Female,Writer,Language,Humanities
James Tobin,Urbana-Champaign,IL,United States,40.115,-88.272778,1918,Male,Economist,Social Sciences,Science & Technology
Emily Brontë,"Thornton, West Yorkshire",NA,United Kingdom,53.7898,-1.8504,1818,Female,Writer,Language,Humanities
Eric Clapton,Ripley,NA,United Kingdom,51.297862,-0.4881,1945,Male,Musician,Music,Arts
Ethelred the Unready,Wessex,NA,United Kingdom,51.2,-2,968,Male,Politician,Government,Institutions
Edward Elgar,Broadheath,NA,United Kingdom,52.209171,-2.273226,1857,Male,Composer,Music,Arts
Elizabeth I of England,London,NA,United Kingdom,51.482222,-0.006667,1533,Female,Politician,Government,Institutions
Edward VI of England,Middlesex,NA,United Kingdom,51.403333,-0.3375,1537,Male,Politician,Government,Institutions
Enid Blyton,East Dulwich,NA,United Kingdom,51.462,-0.084,1897,Female,Writer,Language,Humanities
"Louis Mountbatten, 1st Earl Mountbatten of Burma",Windsor,NA,United Kingdom,51.4791,-0.6095,1900,Male,Politician,Government,Institutions
Edgar Allan Poe,Boston,MA,United States,42.358056,-71.063611,1809,Male,Writer,Language,Humanities
Edward Gibbon,Putney,NA,United Kingdom,51.4649,-0.2211,1737,Male,Historian,History,Humanities
E. O. Wilson,Birmingham,AL,United States,33.525,-86.813,1929,Male,Biologist,Natural Sciences,Science & Technology
Edmund I of England,Wessex,NA,United Kingdom,51.2,-2,922,Male,Politician,Government,Institutions
Edward Lear,Holloway,NA,United Kingdom,51.557,-0.1173,1812,Male,Writer,Language,Humanities
Jonathan Demme,Long Island (ex Queens & Brooklyn),NY,United States,40.670222,-73.6125,1944,Male,Film Director,Film And Theatre,Arts
Edwin Hubble,Marshfield,MO,United States,37.339722,-92.907222,1889,Male,Astronomer,Natural Sciences,Science & Technology
Elvis Costello,London,NA,United Kingdom,51.5172,-0.173,1954,Male,Musician,Music,Arts
Saul Kripke,Long Island (ex Queens & Brooklyn),NY,United States,40.729722,-73.253611,1940,Male,Philosopher,Philosophy,Humanities
Francis Ford Coppola,Detroit,MI,United States,42.331389,-83.045833,1939,Male,Film Director,Film And Theatre,Arts
Frank Zappa,Baltimore,MD,United States,39.283333,-76.616667,1940,Male,Musician,Music,Arts
Frank Lloyd Wright,Richland Center,WI,United States,43.337778,-90.384722,1867,Male,Architect,Design,Arts
Frank Herbert,Tacoma,WA,United States,47.241389,-122.459444,1920,Male,Writer,Language,Humanities
LL Cool J,Long Island (ex Queens & Brooklyn),NY,United States,40.729722,-73.253611,1968,Male,Singer,Music,Arts
Fred Hoyle,Gilstead,NA,United Kingdom,53.851,-1.815,1915,Male,Astronomer,Natural Sciences,Science & Technology
Frederick Douglass,Talbot County,MD,United States,38.75,-76.18,1818,Male,Social Activist,Activism,Public Figure
Frank Sinatra,Hoboken,NJ,United States,40.75,-74.03,1915,Male,Singer,Music,Arts
Ludacris,Urbana-Champaign,IL,United States,40.115,-88.272778,1977,Male,Musician,Music,Arts
Francis Bacon,London,NA,United Kingdom,51.511389,-0.118889,1561,Male,Philosopher,Philosophy,Humanities
Freeman Dyson,Crowthorne,NA,United Kingdom,51.37,-0.792,1923,Male,Physicist,Natural Sciences,Science & Technology
Francis Crick,Weston Favell,NA,United Kingdom,52.25,-0.846,1916,Male,Biologist,Natural Sciences,Science & Technology
Francis Drake,Tavistock,NA,United Kingdom,50.545,-4.15,1540,Male,Pirate,Outlaws,Public Figure
Frederick Soddy,Eastbourne,NA,United Kingdom,50.77,0.28,1877,Male,Chemist,Natural Sciences,Science & Technology
Milo Ventimiglia,Los Angeles,CA,United States,33.836111,-117.889722,1977,Male,Actor,Film And Theatre,Arts
E. E. Cummings,Boston,MA,United States,42.373611,-71.110556,1894,Male,Writer,Language,Humanities
George Edward Moore,London,NA,United Kingdom,51.507222,-0.1275,1873,Male,Philosopher,Philosophy,Humanities
George Washington,Westmoreland County,VA,United States,38.11,-76.8,1732,Male,Politician,Government,Institutions
Gene Kelly,Pittsburgh,PA,United States,NA,NA,1912,Male,Actor,Film And Theatre,Arts
Alison Krauss,Urbana-Champaign,IL,United States,40.115,-88.272778,1971,Female,Musician,Music,Arts
George Whipple,Ashland,NH,United States,43.695,-71.631667,1878,Male,Physician,Medicine,Science & Technology
Gordon Banks,Sheffield,NA,United Kingdom,53.383611,-1.466944,1937,Male,Soccer Player,Team Sports,Sports
George R. R. Martin,Bayonne,NJ,United States,40.662411,-74.110228,1948,Male,Writer,Language,Humanities
G. K. Chesterton,London,NA,United Kingdom,51.5004,-0.1909,1874,Male,Writer,Language,Humanities
Stephen Jay Gould,New York,NY,United States,40.768333,-73.776944,1941,Male,Biologist,Natural Sciences,Science & Technology
Grover Cleveland,Caldwell,NJ,United States,40.839244,-74.276999,1837,Male,Politician,Government,Institutions
Geoff Hurst,Ashton-under-Lyne,NA,United Kingdom,53.4941,-2.1032,1941,Male,Soccer Player,Team Sports,Sports
Gloria Gaynor,Newark,NJ,United States,40.72422,-74.172574,1949,Female,Singer,Music,Arts
George Peppard,Detroit,MI,United States,42.331389,-83.045833,1928,Male,Actor,Film And Theatre,Arts
Jonathan Davis,Bakersfield,CA,United States,35.366667,-119.016667,1971,Male,Singer,Music,Arts
George Stephenson,Wylam,NA,United Kingdom,54.974,-1.821,1781,Male,Inventor,Invention,Science & Technology
Gary Lineker,Leicester,NA,United Kingdom,52.633333,-1.133333,1960,Male,Soccer Player,Team Sports,Sports
Felicity Huffman,Lower Hudson Valley,NY,United States,41.225833,-73.665,1962,Female,Actor,Film And Theatre,Arts
Guy Fawkes,York,NA,United Kingdom,53.958333,-1.080278,1570,Male,Military Personnel,Military,Institutions
George Harrison,Liverpool,NA,United Kingdom,53.4,-3,1943,Male,Musician,Music,Arts
Rooney Mara,Lower Hudson Valley,NY,United States,41.225833,-73.665,1985,Female,Actor,Film And Theatre,Arts
Geoffrey Chaucer,London,NA,United Kingdom,51.507222,-0.1275,1343,Male,Writer,Language,Humanities
George Vancouver,King's Lynn,NA,United Kingdom,52.7543,0.3976,1757,Male,Explorer,Explorers,Exploration
"George Hamilton-Gordon, 4th Earl of Aberdeen",Edinburgh,NA,United Kingdom,55.953056,-3.188889,1784,Male,Politician,Government,Institutions
George Washington Carver,Diamond,MO,United States,36.994444,-94.313889,1864,Male,Chemist,Natural Sciences,Science & Technology
Jack Lemmon,Boston,MA,United States,42.336944,-71.209722,1925,Male,Actor,Film And Theatre,Arts
Graham Chapman,Stoneygate,NA,United Kingdom,52.616,-1.103,1941,Male,Actor,Film And Theatre,Arts
George Eliot,Nuneaton,NA,United Kingdom,52.523,-1.4683,1819,Female,Writer,Language,Humanities
Mike Tyson,New York,NY,United States,40.688889,-73.944444,1966,Male,Boxer,Individual Sports,Sports
Gordon Brown,Giffnock,NA,United Kingdom,55.798415,-4.29069,1951,Male,Politician,Government,Institutions
Glenn T. Seaborg,Ishpeming,MI,United States,46.488611,-87.6675,1912,Male,Chemist,Natural Sciences,Science & Technology
Gene Roddenberry,El Paso,TX,United States,31.790278,-106.423333,1921,Male,Producer,Business,Business & Law
Howard Hawks,Goshen,IN,United States,41.581944,-85.836667,1896,Male,Film Director,Film And Theatre,Arts
Henry Ford,Detroit,MI,United States,NA,NA,1863,Male,Inventor,Invention,Science & Technology
"Horace Walpole, 4th Earl of Orford",Kingdom of Great Britain,NA,United Kingdom,51.5,-0.116667,1717,Male,Politician,Government,Institutions
H. G. Wells,Bromley,NA,United Kingdom,51.407,0.021,1866,Male,Writer,Language,Humanities
H. P. Lovecraft,Providence,RI,United States,41.823611,-71.422222,1890,Male,Writer,Language,Humanities
Henry Fielding,Sharpham,NA,United Kingdom,51.1356,-2.7653,1707,Male,Writer,Language,Humanities
Howard Carter,London,NA,United Kingdom,51.5004,-0.1909,1874,Male,Archaeologist,Natural Sciences,Science & Technology
Alyssa Milano,New York,NY,United States,40.603333,-74.001944,1972,Female,Actor,Film And Theatre,Arts
Herbert Hoover,West Branch,IA,United States,41.666667,-91.35,1874,Male,Politician,Government,Institutions
Halle Berry,Cleveland,OH,United States,41.482222,-81.669722,1966,Female,Actor,Film And Theatre,Arts
Harrison Schmitt,Santa Rita,NM,United States,32.803611,-108.060833,1935,Male,Astronaut,Explorers,Exploration
Lhasa de Sela,Big Indian,NY,United States,42.10259,-74.4437624,1972,Female,Singer,Music,Arts
Laura Branigan,Lower Hudson Valley,NY,United States,41.396111,-73.615833,1957,Female,Singer,Music,Arts
Howard Hughes,Humble,TX,United States,29.995,-95.265,1905,Male,Businessperson,Business,Business & Law
Henry Purcell,London,NA,United Kingdom,51.4995,-0.1333,1659,Male,Composer,Music,Arts
Henry I of England,Yorkshire,NA,United Kingdom,53.781789,-1.070309,1068,Male,Politician,Government,Institutions
Henry VII of England,Wales,NA,United Kingdom,51.677678,-4.920694,1457,Male,Politician,Government,Institutions
Henry VIII of England,Greenwhich,NA,United Kingdom,51.482222,-0.006667,1491,Male,Nobleman,Government,Institutions
Herbert Simon,Milwaukee,WI,United States,43.05,-87.95,1916,Male,Economist,Social Sciences,Science & Technology
Helen Keller,Tuscumbia,AL,United States,34.730839,-87.702854,1880,Female,Social Activist,Activism,Public Figure
Donald Rumsfeld,Chicago,IL,United States,42.046389,-87.694722,1932,Male,Politician,Government,Institutions
Hank Aaron,Mobile,AL,United States,30.694444,-88.043056000000007,1934,Male,Baseball Player,Team Sports,Sports
Hunter S. Thompson,Louisville,KY,United States,38.25,-85.766667,1937,Male,Writer,Language,Humanities
Humphry Davy,Penzance,NA,United Kingdom,50.119,-5.537,1778,Male,Chemist,Natural Sciences,Science & Technology
"Harold Alexander, 1st Earl Alexander of Tunis",London,NA,United Kingdom,51.507222,-0.1275,1891,Male,Military Personnel,Military,Institutions
Henry Moseley,Weymouth,NA,United Kingdom,50.613,-2.457,1887,Male,Physicist,Natural Sciences,Science & Technology
Prince Harry of Wales,London,NA,United Kingdom,51.5172,-0.173,1984,Male,Nobleman,Government,Institutions
Harold Kroto,Wisbech,NA,United Kingdom,52.66416,0.16031,1939,Male,Chemist,Natural Sciences,Science & Technology
Isaac Newton,Woolsthorpe-by-Colsterworth,NA,United Kingdom,52.809863,-0.62877,1642,Male,Physicist,Natural Sciences,Science & Technology
Ice T,Newark,NJ,United States,40.72422,-74.172574,1958,Male,Musician,Music,Arts
Iain Banks,Dunfermline,NA,United Kingdom,56.07192,-3.4393,1954,Male,Writer,Language,Humanities
Ian McKellen,Burnley,NA,United Kingdom,53.789,-2.248,1939,Male,Actor,Film And Theatre,Arts
Dennis Ritchie,New York,NY,United States,40.94,-73.826111,1941,Male,Computer Scientist,Computer Science,Science & Technology
John Ray,Black Notley,NA,United Kingdom,51.8519,0.566,1627,Male,Biologist,Natural Sciences,Science & Technology
John Stuart Mill,Pentonville,NA,United Kingdom,51.535,-0.1031,1806,Male,Economist,Social Sciences,Science & Technology
James Cook,Marton,NA,United Kingdom,54.5406,-1.2124,1728,Male,Explorer,Explorers,Exploration
James Spader,Boston,MA,United States,42.358056,-71.063611,1960,Male,Actor,Film And Theatre,Arts
John Bardeen,Madison,WI,United States,43.066667,-89.4,1908,Male,Physicist,Natural Sciences,Science & Technology
Jim Jarmusch,Cuyahoga Falls,OH,United States,41.145556,-81.496667,1953,Male,Film Director,Film And Theatre,Arts
James Brown,Barnwell,SC,United States,33.244444,-81.363333,1933,Male,Singer,Music,Arts
Jane Austen,Steventon,NA,United Kingdom,51.2303,-1.2189,1775,Female,Writer,Language,Humanities
John Hancock,Boston,MA,United States,42.206,-71.005,1737,Male,Politician,Government,Institutions
John Updike,Reading,PA,United States,40.341667,-75.926389,1932,Male,Writer,Language,Humanities
Edward Jenner,Berkeley,NA,United Kingdom,51.691,-2.459,1749,Male,Physician,Medicine,Science & Technology
Joshua Reynolds,Plympton,NA,United Kingdom,50.386,-4.051,1723,Male,Painter,Fine Arts,Arts
John Lee Hooker,Clarksdale,MS,United States,34.197778,-90.571944,1917,Male,Singer,Music,Arts
John Donne,London,NA,United Kingdom,51.507222,-0.1275,1572,Male,Writer,Language,Humanities
John Lennon,Liverpool,NA,United Kingdom,53.4,-3,1940,Male,Musician,Music,Arts
John Cleese,Weston-super-Mare,NA,United Kingdom,51.346,-2.977,1939,Male,Actor,Film And Theatre,Arts
Percival Lowell,Boston,MA,United States,42.358056,-71.063611,1855,Male,Astronomer,Natural Sciences,Science & Technology
John Major,Carshalton,NA,United Kingdom,51.3652,-0.1676,1943,Male,Politician,Government,Institutions
John A. Macdonald,Glasgow,NA,United Kingdom,55.858,-4.259,1815,Male,Politician,Government,Institutions
Frank Abagnale,New York,NY,United States,40.94,-73.826111,1948,Male,Mafioso,Outlaws,Public Figure
John Wilkes Booth,Bel Air,MD,United States,39.536667,-76.348333,1838,Male,Extremist,Outlaws,Public Figure
Dan Quayle,Indianapolis,IN,United States,39.791,-86.148,1947,Male,Politician,Government,Institutions
James Madison,Port Conway,VA,United States,38.177222,-77.186111,1751,Male,Politician,Government,Institutions
James Hutton,Edinburgh,NA,United Kingdom,55.953056,-3.188889,1726,Male,Geologist,Natural Sciences,Science & Technology
Jerry Lewis,Newark,NJ,United States,40.72422,-74.172574,1926,Male,Actor,Film And Theatre,Arts
James Monroe,Monroe Hall,VA,United States,38.2398519,-76.9921947,1758,Male,Politician,Government,Institutions
James K. Polk,Pineville,NC,United States,35.085737,-80.888167,1795,Male,Politician,Government,Institutions
Jimmy Carter,Plains,GA,United States,32.033611,-84.393333,1924,Male,Politician,Government,Institutions
John Napier,Merchiston Tower,NA,United Kingdom,55.933333,-3.213889,1550,Male,Mathematician,Math,Science & Technology
John Irving,Exeter,NH,United States,42.981389,-70.947778,1942,Male,Writer,Language,Humanities
J. K. Rowling,Yate,NA,United Kingdom,51.5402,-2.410989,1965,Female,Writer,Language,Humanities
J. Edgar Hoover,"Washington, D.C.",NA,United States,NA,NA,1895,Male,Lawyer,Law,Business & Law
Herman Hollerith,Buffalo,NY,United States,42.904722,-78.849444,1860,Male,Inventor,Invention,Science & Technology
David Boreanaz,Buffalo,NY,United States,42.904722,-78.849444,1969,Male,Actor,Film And Theatre,Arts
Jimi Hendrix,Seattle,WA,United States,47.609722,-122.333056,1942,Male,Musician,Music,Arts
